曲线名称	日期	3月	6月	1年	3年	5年	7年	10年	30年
中债国债收益率曲线	2018-12-06	2.3935	2.4684	2.4585	2.9015	3.0734	3.2554	3.2751	3.7967
中债商业银行普通债收益率曲线(AAA)	2018-12-06	3.1181	3.1907	3.4300	3.7546	3.9821	4.1990	4.2661	4.6998
中债中短期票据收益率曲线(AAA)	2018-12-06	3.1503	3.3341	3.6149	3.8715	4.0492	4.3145	4.3740
中债国债收益率曲线	2018-12-05	2.3625	2.4613	2.4604	2.9333	3.0718	3.2997	3.2750	3.8264
中债商业银行普通债收益率曲线(AAA)	2018-12-05	3.1001	3.2379	3.4642	3.7392	3.9751	4.2099	4.2768	4.7085
中债中短期票据收益率曲线(AAA)	2018-12-05	3.1214	3.3499	3.6153	3.8906	4.0422	4.3254	4.3847
中债国债收益率曲线	2018-12-04	2.3563	2.4688	2.4604	2.9738	3.0779	3.3150	3.3050	3.8416
中债商业银行普通债收益率曲线(AAA)	2018-12-04	3.1599	3.2260	3.4213	3.7901	4.0242	4.2622	4.3423	4.7164
中债中短期票据收益率曲线(AAA)	2018-12-04	3.1789	3.3400	3.6375	3.9541	4.0913	4.3777	4.4502
中债国债收益率曲线	2018-12-03	2.3569	2.4704	2.4823	2.9982	3.1279	3.3698	3.3500	3.8807
中债商业银行普通债收益率曲线(AAA)	2018-12-03	3.1609	3.2446	3.4311	3.8025	4.0387	4.2767	4.3461	4.7202
中债中短期票据收益率曲线(AAA)	2018-12-03	3.2263	3.3617	3.6470	3.9411	4.1058	4.3922	4.4540
中债国债收益率曲线	2018-11-30	2.3685	2.4791	2.4826	2.9899	3.1353	3.3602	3.3550	3.8857
